species;year;month;lon;lat
Amnirana galamensis;1956;2;-13,221091;13,13915
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2005;7;0,56544;8,42942
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;1954;10;-0,233;5,617
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1973;8;-0,337333;5,567667
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2006;11;4,356513;6,85831
Amnirana galamensis;2003;3;-0,1085;5,8391
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;2009;4;11,585;7,329972
Amnirana galamensis;1955;1;-0,267;10,95
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1975;7;-0,196;5,651667
Amnirana galamensis;2010;6;2,1683;6,96026
Amnirana galamensis;2012;7;-0,353322;6,354922
Amnirana galamensis;2021;11;-14,924281;13,574112
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;1961;10;-0,183333;5,65
Amnirana galamensis;1961;9;-0,183333;5,65
Amnirana galamensis;1954;1;-0,233;5,617
Amnirana galamensis;1965;11;-0,194;5,646667
Amnirana galamensis;1975;8;-1,006333;9,491167
Amnirana galamensis;2015;11;-13,375657;13,349374
Amnirana galamensis;2020;5;1,333358;10,305814
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2005;7;-1,86145;9,25971
Amnirana galamensis;1954;10;-0,233;5,617
Amnirana galamensis;2013;11;2,650819;9,604286
Amnirana galamensis;1966;10;3,28;7,43
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2018;8;0,305994;5,860986
Amnirana galamensis;2009;4;11,585;7,329972
Amnirana galamensis;2003;3;-0,1085;5,8391
Amnirana galamensis;1961;9;-0,233333;5,616667
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;2020;6;1,601032;11,370731
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;1971;1;9,3196;5,0389
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1975;8;-0,984333;9,397833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2012;7;-0,327382;6,326227
Amnirana galamensis;2017;11;-13,319979;13,040079
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;2005;7;0,55621;8,42106
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2019;5;1,503261;7,423355
Amnirana galamensis;2003;3;-0,1085;5,8391
Amnirana galamensis;2004;7;0,11555;5,84137
Amnirana galamensis;1961;10;-0,183333;5,65
Amnirana galamensis;1961;11;-0,183333;5,65
Amnirana galamensis;1954;10;-0,233;5,617
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2013;11;-13,376631;13,349383
Amnirana galamensis;2019;7;8,349917;5,318984
Amnirana galamensis;2017;11;-12,174997;12,546832
Amnirana galamensis;2003;3;-0,1085;5,8391
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;1961;9;-0,183333;5,65
Amnirana galamensis;2004;6;-0,1694;5,651867
Amnirana galamensis;1998;6;-0,688056;5,321389
Amnirana galamensis;1995;1;-3,78333;8,75
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;2010;8;-1,853553;9,263605
Amnirana galamensis;2019;12;1,234137;10,75185
Amnirana galamensis;2020;9;1,253981;10,653637
Amnirana galamensis;1954;10;-0,233;5,617
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;1981;5;-0,183333;5,65
Amnirana galamensis;1970;12;14,570667;11,398794
Amnirana galamensis;1998;6;-0,688056;5,321389
Amnirana galamensis;1975;8;-0,984333;9,397833
Amnirana galamensis;1975;8;-0,984333;9,397833
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2010;5;2,936944;11,128611
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2005;7;0,56544;8,42942
Amnirana galamensis;1998;5;-0,703333;5,353889
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;1975;8;-1,006333;9,491167
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;2017;2;2,410641;6,945294
Amnirana galamensis;2019;7;2,462794;6,907309
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2005;7;0,53053;8,28022
Pelophylax bedriagae;2019;1;14,28;36,02
Pelophylax saharicus;2019;3;-7,763185;33,544504
Pelophylax saharicus;1970;2;-6,87;30,87
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;6;-6,04028;35,46556
Pelophylax saharicus;1982;6;-5,56306;35,75737
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;2013;11;-6,318759;31,497308
Pelophylax saharicus;2013;4;-8,018968;31,561497
Pelophylax saharicus;2018;1;-9,6576;29,9995
Pelophylax saharicus;2014;2;-9,657497;30,071471
Pelophylax saharicus;2012;4;-7,292834;31,285494
Pelophylax saharicus;2017;5;-6,203;31,411
Pelophylax saharicus;2014;6;-6,9109;30,904339
Pelophylax saharicus;2013;5;-6,194175;31,385772
Pelophylax saharicus;2004;4;-4,074483;32,3349
Pelophylax saharicus;2013;5;-6,303535;31,419361
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2013;4;-7,41008;31,432201
Pelophylax saharicus;2017;5;-7,761612;33,544523
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;11;-10,9;28,28
Pelophylax saharicus;1982;6;-5,56306;35,75287
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;2019;10;-7,962275;31,291071
Pelophylax saharicus;2016;3;-4,778996;31,611305
Pelophylax saharicus;2022;2;4,440234;36,579501
Pelophylax saharicus;2013;5;-6,313888;31,429185
Pelophylax saharicus;2000;3;-8,169779;31,496897
Pelophylax saharicus;2018;4;4,505547;36,61854
Pelophylax saharicus;2013;6;-7,670474;31,220747
Pelophylax saharicus;2013;9;-8,01539;31,587579
Pelophylax saharicus;2012;4;-7,85163;31,208411
Pelophylax saharicus;2015;4;-0,120025;35,783593
Pelophylax saharicus;2007;4;-9,428833;28,605967
Pelophylax saharicus;2018;5;-6,106595;35,198337
